state,type,x,y
Andhra Pradesh,State,-70.0,-191.0
Arunachal Pradesh,State,244.0,149.0
Assam,State,221.0,96.0
Bihar,State,81.0,71.0
Chhattisgarh,State,-7.0,-39.0
Goa,State,-186.0,-172.0
Gujarat,State,-234.0,7.0
Haryana,State,-133.0,162.0
Himachal Pradesh,State,-104.0,223.0
Jharkhand,State,67.0,16.0
Karnataka,State,-142.0,-196.0
Kerala,State,-129.0,-295.0
Madhya Pradesh,State,-98.0,12.0
Maharashtra,State,-153.0,-88.0
Manipur,State,247.0,61.0
Meghalaya,State,192.0,76.0
Mizoram,State,227.0,27.0
Nagaland,State,257.0,93.0
Odisha,State,54.0,-52.0
Punjab,State,-142.0,207.0
Rajasthan,State,-181.0,91.0
Sikkim,State,129.0,117.0
Tamil Nadu,State,-82.0,-279.0
Telangana,State,-72.0,-116.0
Tripura,State,202.0,33.0
Uttar Pradesh,State,-33.0,95.0
Uttarakhand,State,-67.0,179.0
West Bengal,State,122.0,8.0
Andaman And Nicobar Islands,Union Territory,245.0,-227.0
Chandigarh,Union Territory,-117.0,196.0
Dadra And Nagar Haveli And Daman And Diu,Union Territory,-209.0,-52.0
Lakshadweep,Union Territory,-238.0,-264.0
Delhi,Union Territory,-106.0,142.0
Puducherry,Union Territory,-51.0,-257.0
Ladakh,Union Territory,-99.0,277.0
Jammu And Kashmir,Union Territory,-151.0,263.0
